n,scenario,comparisons,time
80000,middle,16,1.2e-07
80000,end,17,1.61e-07
80000,missing,16,1.3e-07
80000,random,15.42,1.931e-07
81000,begin,16,9e-08
81000,middle,16,1.7e-07
81000,end,17,2.1e-07
81000,missing,16,1.3e-07
81000,random,15.44,4.1024e-07
82000,begin,16,1e-07
82000,middle,16,1.1e-07
82000,end,17,1.11e-07
82000,missing,16,1.3e-07
82000,random,15.5,3.6532e-07
83000,begin,16,1e-07
83000,middle,16,1.8e-07
83000,end,17,1.51e-07
83000,missing,16,1.3e-07
83000,random,15.54,3.6692e-07
84000,begin,16,1.5e-07
84000,middle,16,1.3e-07
84000,end,17,1.2e-07
84000,missing,16,1.1e-07
84000,random,15.4,3.5138e-07
85000,begin,16,1.1e-07
85000,middle,16,1.1e-07
85000,end,17,1e-07
85000,missing,16,1.2e-07
85000,random,15.72,2.0298e-07
86000,begin,16,1.5e-07
86000,middle,16,1.81e-07
86000,end,17,1.31e-07
86000,missing,16,1.21e-07
86000,random,15.2,2.9874e-07
87000,begin,16,1e-07
87000,middle,16,1.2e-07
87000,end,17,1e-07
87000,missing,16,1.2e-07
87000,random,15.82,2.0116e-07
88000,begin,16,9e-08
88000,middle,16,1.3e-07
88000,end,17,1.1e-07
88000,missing,16,1.3e-07
88000,random,15.36,1.9984e-07
89000,begin,16,1.1e-07
89000,middle,16,1.21e-07
89000,end,17,9e-08
89000,missing,16,1.2e-07
89000,random,15.44,1.9818e-07
90000,begin,16,1e-07
90000,middle,16,1.2e-07
90000,end,17,1.3e-07
90000,missing,16,1.2e-07
90000,random,15.7,2.0084e-07
91000,begin,16,1.11e-07
91000,middle,16,1.2e-07
91000,end,17,1e-07
91000,missing,16,1.2e-07
91000,random,15.76,1.9774e-07
92000,begin,16,1e-07
92000,middle,16,1.3e-07
92000,end,17,1.11e-07
92000,missing,16,1.4e-07
92000,random,15.62,2.0526e-07
93000,begin,16,1e-07
93000,middle,16,1.3e-07
93000,end,17,1.3e-07
93000,missing,16,1.1e-07
93000,random,15.32,2.0242e-07
94000,begin,16,1e-07
94000,middle,16,1.3e-07
94000,end,17,1e-07
94000,missing,16,1.11e-07
94000,random,15.8,4.159e-07
95000,begin,16,1.21e-07
95000,middle,16,1.3e-07
95000,end,17,9e-08
95000,missing,16,3e-07
95000,random,16.14,3.6252e-07
96000,begin,16,9e-08
96000,middle,16,1.31e-07
96000,end,17,1e-07
96000,missing,16,1.21e-07
96000,random,15.6,2.076e-07
97000,begin,16,1.01e-07
97000,middle,16,1.2e-07
97000,end,17,1.01e-07
97000,missing,16,1.31e-07
97000,random,15.58,2.0796e-07
98000,begin,16,1.01e-07
98000,middle,16,1.2e-07
98000,end,17,9.1e-08
98000,missing,16,1.21e-07
98000,random,15.36,2.0084e-07
99000,begin,16,9e-08
99000,middle,16,1.31e-07
99000,end,17,1e-07
99000,missing,16,1.1e-07
99000,random,15.5,2.0502e-07
100000,begin,16,1e-07
100000,middle,16,1.3e-07
100000,end,17,9e-08
100000,missing,16,1.2e-07
100000,random,16.06,2.2282e-07
