n,k,comparisons,swaps
500,500,1256,956
500,500,1429,1145
500,500,1387,1089
500,500,1381,1088
500,500,1411,1103
500,500,1515,1185
500,500,1428,1121
500,500,1459,1128
500,500,1329,1034
500,500,1338,1071
500,500,1217,914
600,1,1712,1326
600,1,1749,1376
600,1,1702,1311
600,1,1653,1256
600,1,1704,1298
600,1,1707,1319
600,1,1702,1291
600,1,1729,1345
600,1,1720,1326
600,1,1662,1247
600,1,1674,1272
600,1,1733,1336
600,1,1724,1325
600,1,1681,1291
600,1,1763,1372
600,1,1748,1345
600,1,1599,1209
600,1,1607,1220
600,1,1707,1289
600,1,1757,1348
600,1,1672,1287
600,1,1685,1283
600,1,1740,1346
600,1,1750,1363
600,1,1666,1252
600,1,1684,1284
600,1,1729,1336
600,1,1618,1207
600,1,1803,1408
600,1,1636,1240
600,1,1750,1353
600,1,1640,1241
600,1,1501,1102
600,1,1650,1262
600,1,1755,1369
600,1,1724,1336
600,1,1665,1268
600,1,1752,1361
600,1,1765,1373
600,1,1670,1275
600,1,1591,1206
600,1,1694,1280
600,1,1683,1282
600,1,1746,1354
600,1,1677,1282
600,1,1708,1315
600,1,1671,1269
600,1,1674,1275
600,1,1704,1313
600,1,1667,1261
600,300,902,671
600,300,1759,1355
600,300,1782,1380
600,300,1773,1387
600,300,1595,1190
600,300,1758,1357
600,300,1798,1362
600,300,1652,1265
600,300,1768,1362
600,300,1698,1310
600,300,1711,1317
600,300,1628,1220
600,300,1759,1373
600,300,1810,1410
600,300,1812,1377
600,300,1759,1366
600,300,1807,1390
600,300,1736,1345
600,300,1738,1318
600,300,1725,1329
600,300,1688,1292
600,300,1695,1287
600,300,1787,1382
600,300,1754,1345
600,300,1588,1237
600,300,1785,1337
600,300,1791,1381
600,300,1780,1380
600,300,1730,1328
600,300,1738,1357
600,300,1737,1326
600,300,1704,1297
600,300,1733,1332
600,300,1751,1332
600,300,1763,1380
600,300,1737,1320
600,300,1584,1226
600,300,917,691
600,300,1662,1263
600,300,1783,1355
600,300,1794,1382
600,300,1743,1349
600,300,1800,1380
600,300,1717,1326
600,300,1832,1413
600,300,1763,1349
600,300,1638,1231
600,300,1760,1374
600,300,1667,1274
600,300,1733,1337
600,600,1677,1278
600,600,1712,1364
600,600,1764,1322
600,600,1762,1395
600,600,1710,1346
600,600,1727,1332
600,600,1720,1320
600,600,1691,1329
600,600,1797,1375
600,600,1686,1333
600,600,1733,1335
600,600,1603,1207
600,600,1726,1338
600,600,1721,1337
600,600,1618,1283
600,600,1714,1304
600,600,1813,1384
600,600,1782,1398
600,600,1575,1201
600,600,1713,1316
600,600,1773,1345
600,600,1723,1347
600,600,1685,1322
600,600,1655,1284
600,600,1635,1312
600,600,1722,1341
600,600,1658,1273
600,600,1708,1301
600,600,1761,1381
600,600,1596,1219
600,600,1729,1334
600,600,1734,1365
600,600,1700,1346
600,600,1669,1310
600,600,1742,1351
600,600,1702,1348
600,600,1700,1313
600,600,1701,1297
600,600,1707,1348
600,600,1746,1325
600,600,1713,1362
600,600,1699,1323
600,600,1541,1165
600,600,1749,1362
600,600,1752,1361
600,600,1744,1338
600,600,1694,1296
600,600,1723,1303
600,600,1640,1279
600,600,1721,1340
700,1,2016,1538
700,1,1887,1436
700,1,1914,1424
700,1,2053,1606
700,1,1937,1458
700,1,2028,1570
700,1,1973,1489
700,1,1895,1444
700,1,2029,1574
700,1,1998,1527
700,1,2065,1610
700,1,1973,1494
700,1,1984,1498
700,1,1994,1514
700,1,2080,1597
700,1,1922,1457
700,1,1893,1421
700,1,2044,1579
700,1,1975,1481
700,1,2068,1589
700,1,2073,1613
700,1,1910,1455
700,1,1999,1525
700,1,1927,1481
700,1,1806,1348
700,1,2043,1580
700,1,1883,1431
700,1,2017,1523
700,1,2004,1538
700,1,2023,1556
700,1,2091,1611
700,1,1924,1447
700,1,2074,1579
700,1,2046,1576
700,1,2084,1621
700,1,2087,1607
